region,Census,Estimates Base,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00
New Mexico,2059179.00,2059199.00,2064552.00,2080450.00,2087309.00,2092273.00,2089568.00,2089291.00,2091630.00,2091784.00,2092741.00,2096829.00
New York,19378102.00,19378144.00,19399878.00,19499241.00,19572932.00,19624447.00,19651049.00,19654666.00,19633428.00,19589572.00,19530351.00,19453561.00
North Carolina,9535483.00,9535751.00,9574323.00,9657592.00,9749476.00,9843336.00,9932887.00,10031646.00,10154788.00,10268233.00,10381615.00,10488084.00
North Dakota,672591.00,672576.00,674715.00,685225.00,701176.00,722036.00,737401.00,754066.00,754434.00,754942.00,758080.00,762062.00
Ohio,11536504.00,11536751.00,11539336.00,11544663.00,11548923.00,11576684.00,11602700.00,11617527.00,11634370.00,11659650.00,11676341.00,11689100.00
Oklahoma,3751351.00,3751582.00,3759944.00,3788379.00,3818814.00,3853214.00,3878187.00,3909500.00,3926331.00,3931316.00,3940235.00,3956971.00
Oregon,3831074.00,3831079.00,3837491.00,3872036.00,3899001.00,3922468.00,3963244.00,4015792.00,4089976.00,4143625.00,4181886.00,4217737.00
Pennsylvania,12702379.00,12702868.00,12711160.00,12745815.00,12767118.00,12776309.00,12788313.00,12784826.00,12782275.00,12787641.00,12800922.00,12801989.00
Rhode Island,1052567.00,1052964.00,1053959.00,1053649.00,1054621.00,1055081.00,1055936.00,1056065.00,1056770.00,1055673.00,1058287.00,1059361.00
South Carolina,4625364.00,4625366.00,4635649.00,4671994.00,4717354.00,4764080.00,4823617.00,4891938.00,4957968.00,5021268.00,5084156.00,5148714.00
South Dakota,814180.00,814198.00,816166.00,823579.00,833566.00,842316.00,849129.00,853988.00,862996.00,872868.00,878698.00,884659.00
Tennessee,6346105.00,6346276.00,6355311.00,6399291.00,6453898.00,6494340.00,6541223.00,6591170.00,6646010.00,6708799.00,6771631.00,6829174.00
Texas,25145561.00,25146091.00,25241971.00,25645629.00,26084481.00,26480266.00,26964333.00,27470056.00,27914410.00,28295273.00,28628666.00,28995881.00
Utah,2763885.00,2763891.00,2775332.00,2814384.00,2853375.00,2897640.00,2936879.00,2981835.00,3041868.00,3101042.00,3153550.00,3205958.00
Vermont,625741.00,625737.00,625879.00,627049.00,626090.00,626210.00,625214.00,625216.00,623657.00,624344.00,624358.00,623989.00
Virginia,8001024.00,8001049.00,8023699.00,8101155.00,8185080.00,8252427.00,8310993.00,8361808.00,8410106.00,8463587.00,8501286.00,8535519.00
Washington,6724540.00,6724540.00,6742830.00,6826627.00,6897058.00,6963985.00,7054655.00,7163657.00,7294771.00,7423362.00,7523869.00,7614893.00
West Virginia,1852994.00,1853018.00,1854239.00,1856301.00,1856872.00,1853914.00,1849489.00,1842050.00,1831023.00,1817004.00,1804291.00,1792147.00
Wisconsin,5686986.00,5687285.00,5690475.00,5705288.00,5719960.00,5736754.00,5751525.00,5760940.00,5772628.00,5790186.00,5807406.00,5822434.00
Wyoming,563626.00,563775.00,564487.00,567299.00,576305.00,582122.00,582531.00,585613.00,584215.00,578931.00,577601.00,578759.00
